,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
4,life,printed cotton round neck womens active wear t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
2,insense,womens  round neck  printed t-shirt - pink,"Size:Medium,Small",399,199,0.5,Westernwear-Women
23,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
10,insense,half sleeves night wear womens t-shirt - pink,"Size:Medium,Small,X-Small",399,199,0.5,Westernwear-Women
21,life,printed cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
4,insense,half sleeves night wear womens t-shirt - red,"Size:Large,Medium,Small,X-Small",399,199,0.5,Westernwear-Women
9,life,printed cotton round neck womens regular t-shirt - navy,"Size:Large,Small,X-Large,X-Small",399,199,0.5,Westernwear-Women
13,insense,womens  round neck  stripe t-shirt - mint,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
2,life,solid cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
20,life,stripes cotton round neck womens regular t-shirt - black,"Size:Large,Small,X-Small,XX-Large",399,199,0.5,Westernwear-Women
10,insense,womens  round neck  stripe t-shirt - black & white,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
1,altlife,printed cotton round neck womens active wear t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
4,life,printed cotton round neck womens regular t-shirt - charcoal,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
12,stop,womens 2 ply anti microbial reusable protective fashion mask- pack of 5 - multi,Nan,399,199,0.5,Westernwear-Women
23,life,printed cotton round neck womens regular t-shirt - grey melange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",399,199,0.5,Westernwear-Women
12,insense,half sleeves night wear womens t-shirt - black,"Size:Small,X-Small",399,199,0.5,Westernwear-Women
